TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
390661644,1063.35,45.98,7.474916800000001,0.2794518397133617,-0.1333100000000002,0.24556637711065,-0.0528777999999998,0.2780135623688168,-0.0545445999999998,0.0595220802711405,0.47031,0.0555065,0.0075918269007998,0.0080340550844994,8.75416,10175.0,131.0,11.2948,,,,[]
293950421,1173.39,29.32,11.64856136,0.0305112273197476,0.0606254999999993,0.1983198992966981,-0.1073223099999987,0.06026411193706,0.1480928299999992,0.0095166038816294,0.0463745,0.0072893,0.0762975569094095,0.0768358786186358,11.7747,7724.0,132.704,2.66378,0.0974925,1.82,0.282883,[]
331145790,1582.92,78.995,10.40930288,0.2914680799859395,-0.0785209999999999,0.4581408304897223,-0.1138179799999993,0.2995108009074965,-0.1546838599999998,0.0396821002544047,0.549521,0.03575875,0.3540768099069851,0.3394236800340304,11.904,14127.0,132.0,,,,,[]
440546714,944.364,944.364,,,-0.8790000000000013,1.1352114340509436,,,,,1.0,1.0,0.5,2.0,,,,,,,,"['NO_GAIA_ID', 'BLEND_BAD', 'GUESS_EBV']"
186260283,234.296,4.1255,7.16094512,0.0230834782584296,-0.0066265000000005,0.0367165032930016,0.0212387299999997,0.0586013200752551,-0.0066558899999999,0.0086725406204692,0.0237665,0.00727255,0.0021980670987,0.0030792066835755,7.22559,9359.0,164.912,3.17081,0.10142,2.377,0.326122,[]
409614577,1383.11,76.29,9.47318768,0.1696945062465037,-0.0505559999999998,0.1941515018077924,-0.0024112800000002,0.1781866453132781,0.0724330399999989,0.0114341127363851,0.335556,0.009346035,0.0183459712165116,0.0201551461021537,10.3859,8371.0,123.0,7.52172,,,,[]
140445422,2098.75,205.38,11.03255536,0.1467463301962349,-0.0368619999999984,0.3270030454800842,-0.2192275600000007,0.161862334361642,0.0021310799999999,0.0172422854118617,0.280862,0.0156565,0.1871514095979282,0.120458186754546,11.7965,9229.0,217.225,4.86175,0.500337,2.34,0.328452,[]
110602878,991.529,45.8085,9.940493264,0.0517246493357386,0.1360637,0.0725125636288809,-0.0571957940000005,0.0812459348732138,-0.0084979579999991,0.0161041682847055,0.0689363,0.0141781,0.0882847357825935,0.1029824308840769,10.128,9388.0,222.237,3.71632,0.195108,2.39,0.325298,[]
236881602,872.294,23.5765,10.05775072,0.1376366897236449,0.0046510000000003,0.1144256221471069,-0.1173326199999991,0.1471300295189598,-0.0437303400000008,0.0458311034484845,0.145349,0.04297255,0.0465682051440949,0.0361356505850654,10.4531,9973.0,649.267,2.88346,0.126505,2.55,0.38695,[]
296633787,817.904,27.189,7.887458863999999,0.0241818359884957,-0.0516438000000013,0.0463226615648852,0.0248453560000011,0.0452189857870563,-0.0461949080000011,0.0062977514630571,0.0476438,0.00151857,0.0577658483702839,0.0769883583032281,8.01705,10020.0,125.0,7.30681,,,,[]
